district,date,month,year,visitors
Adilabad,2016-01-01,January,2016,2
Adilabad,2016-02-01,February,2016,0
Adilabad,2016-03-01,March,2016,2
Adilabad,2016-04-01,April,2016,0
Adilabad,2016-05-01,May,2016,0
Adilabad,2016-06-01,June,2016,0
Adilabad,2016-07-01,July,2016,4
Adilabad,2016-08-01,August,2016,2
Adilabad,2016-09-01,September,2016,0
Adilabad,2016-10-01,October,2016,0
Adilabad,2016-11-01,November,2016,0
Adilabad,2016-12-01,December,2016,0
Bhadradri Kothagudem ,2016-01-01,January,2016,0
Bhadradri Kothagudem ,2016-02-01,February,2016,0
Bhadradri Kothagudem ,2016-03-01,March,2016,0
Bhadradri Kothagudem ,2016-04-01,April,2016,0
Bhadradri Kothagudem ,2016-05-01,May,2016,0
Bhadradri Kothagudem ,2016-06-01,June,2016,0
Bhadradri Kothagudem ,2016-07-01,July,2016,0
Bhadradri Kothagudem ,2016-08-01,August,2016,0
Bhadradri Kothagudem ,2016-09-01,September,2016,0
Bhadradri Kothagudem ,2016-10-01,October,2016,0
Bhadradri Kothagudem ,2016-11-01,November,2016,0
Bhadradri Kothagudem ,2016-12-01,December,2016,0
Hyderabad,2016-01-01,January,2016,15865
Hyderabad,2016-02-01,February,2016,29646
Hyderabad,2016-03-01,March,2016,13019
Hyderabad,2016-04-01,April,2016,8402
Hyderabad,2016-05-01,May,2016,8522
Hyderabad,2016-06-01,June,2016,10284
Hyderabad,2016-07-01,July,2016,17142
Hyderabad,2016-08-01,August,2016,12842
Hyderabad,2016-09-01,September,2016,9397
Hyderabad,2016-10-01,October,2016,12808
Hyderabad,2016-11-01,November,2016,8084
Hyderabad,2016-12-01,December,2016,17620
Jagtial ,2016-01-01,January,2016,0
Jagtial ,2016-02-01,February,2016,0
Jagtial ,2016-03-01,March,2016,0
Jagtial ,2016-04-01,April,2016,0
Jagtial ,2016-05-01,May,2016,0
Jagtial ,2016-06-01,June,2016,0
Jagtial ,2016-07-01,July,2016,0
Jagtial ,2016-08-01,August,2016,0
